955113,7973,3043
957349,5539,3060
986412,8213,3180
998603,9568,3784
1000700,8963,4592
1030796,9216,4676
1043917,11051,4718
1044133,6106,2975
1044249,8413,4658
1068537,10043,4490
1081811,10822,3787
1110916,6513,2608
1120503,11197,5904
1129280,5721,2438
1139436,12601,6397
1145134,10430,2786
1146062,8621,4155
1157047,6503,2303
1158256,7254,3364
1162442,4931,2055
1187715,7474,3555
1196948,8937,3633
1197311,8244,3978
1198611,8624,3494
1199111,7282,3527
1216800,10128,3348
1228503,8642,2764
1249231,9792,5567
1262172,10324,4610
1277626,11399,5063
1285159,10074,5555
1314112,6071,2451
1319576,12577,5299
1351178,10320,4749
1362759,9392,4717
1384958,12763,3581
1387767,6939,2268
1391887,11396,5838
1417631,8763,4148
1444446,9104,3004
1457387,12408,6142
1467174,12104,6259
1467643,12711,7117
1471460,10037,3628
1479241,7653,3315
1490362,13803,6365
1493229,7334,2888
1517047,8987,3783
1527816,12861,5884
1571437,8778,3436
1593015,6632,2917
1604412,13292,6302
1616699,9706,3097
1617001,7722,3399
1629049,10566,4799
1641670,8093,2366
1649728,9890,4618
1665400,12906,6339
1675181,13791,5524
1790289,15137,6662
1802040,14066,8138
1832332,11115,3889
1923862,15886,9710
1934541,17174,8778
1953474,14143,7694
1979133,12893,6387
2025465,14245,7672
2031814,16164,7513
2099481,15695,9221
2121009,11452,3925
2138802,13815,4820
2165836,15466,8946
2166561,15611,7755
2197324,18858,10399
2299138,10323,2687
2327588,15964,9833
2373668,21008,11094
2418050,13448,4617
2428743,17524,9124
2702673,21515,8570
2741828,18748,6322
2746861,16788,6504
2777570,17795,7886
3098365,17573,4775
3132882,21528,5831
3132984,24072,5848
3142491,22771,6270
3142550,21311,5781
3155296,20313,5624
3155370,20049,5501
3155372,24339,6280
3164083,31502,21973
5196645,36808,23625
5744074,22848,4674
6756808,32199,10407
6821689,46011,20841
9083852,52171,19015
10746739,46568,16448
