1332,7,305
1332,6,279
1333,5,317
1333,8,321
1333,6,305
1333,6,278
1333,6,317
1333,9,307
1333,7,303
1333,7,473
1333,7,308
1333,8,323
1333,7,340
1333,6,337
1333,8,299
1333,6,298
1333,7,301
1333,11,384
1333,11,363
1333,8,343
1333,8,309
1333,6,312
1333,6,323
1333,6,325
1333,7,345
1333,10,404
1333,11,396
1333,11,484
1333,9,353
1333,7,380
1333,8,363
1333,6,366
1333,9,310
1333,6,312
1333,7,342
1333,6,319
1333,6,324
1333,7,402
1333,10,352
1333,8,342
1333,8,302
1333,6,318
1333,9,356
1333,8,342
1333,7,322
1333,6,306
1333,7,329
1333,6,312
1333,8,301
1333,6,344
1333,6,342
1333,7,343
1333,8,319
1333,7,307
1333,7,310
1333,7,318
1333,6,316
1333,7,334
1333,6,337
1333,9,294
1333,6,311
1333,7,295
1333,6,294
1333,6,335
1369,6,350
1382,9,294
1396,5,262
1414,9,285
1418,8,304
1426,7,305
1454,6,286
1456,7,342
1459,11,346
1815,16,327
1901,14,291
1918,11,285
1937,17,303
1956,9,353
2002,12,296
3605,20,312
5514,59,311
5517,54,325
5577,56,325
7216,79,324
8542,81,341
8776,95,352
9776,318,412
9801,99,387
10098,93,377
11435,95,363
13505,115,332
14914,74,329
20606,192,337
22465,342,469
27124,264,466
30344,276,367
35085,367,431
35920,406,489
36331,879,577
36645,912,600
38599,399,500
39696,336,458
43047,425,487
43287,261,439
43335,283,436
44314,377,690
44934,461,467
46440,317,459
58360,396,452
63211,391,443
66153,283,426
67520,392,433
68343,797,628
73357,440,519
86658,671,633
91377,893,676
94058,889,616
98399,849,595
101423,1153,775
104261,899,594
104694,1295,814
104723,1215,706
105748,1062,709
106247,2014,1202
109904,567,513
112978,877,617
121502,724,553
124655,1485,1241
134992,925,649
138239,856,642
141419,1681,1007
141479,866,594
149158,1123,782
151484,1072,775
152276,1140,730
155914,1478,693
157009,1779,893
157527,1914,1244
158457,1602,1091
158676,1149,636
159923,1004,695
167051,1751,1087
168059,1260,867
174674,1736,907
177166,644,553
178853,1791,995
179167,3260,2012
181514,1265,714
